"kanji", "onyomi, "kunyomi, "english"
"日", "ニチ ジツ -", "ひ -び", "day, sun, Japan""
"一", "イチ イツ ヒト.", "ひと-", "one"
"国", "コク ク", "", "country"
"人", "ジン ニン -", "ひと -り", "person"
"年", "ネン ト", "", "year"
"大", "ダイ タイ -オオ.イ", おお- おお.きい", "large, big"
"十", "ジュウ ジッ ジュッ", "とお", "ten"
"二", "ニ ジ フタタ.", "ふた ふた.つ", "two"
"本", "ホン モ", "", "book, present, main, true, real, counter" "for" "long" "things"
"中", "チュウ アタ.", "なか うち", "in, inside, middle, mean, center"
"長", "チョウ オ", "なが.い", "long, leader"
"出", "シュツ スイ イ.ダ", "で.る -で だ.す -だ.す い.でる", "exit, leave"
"三", "サン ゾウ ミッ.", "み み.つ", "three"
"時", "ジ -ド", "とき", "time, hour"
"行", "コウ ギョウ アン オコ.ナ", "い.く ゆ.く -ゆ.き -ゆき -い.き -いき おこな.う", "going, journey"
"見", "ケン", "み.る み.える み.せる", "see, hopes, chances, idea, opinion, look" "at, visible"
"月", "ゲツ ガツ ツ", "", "month, moon"
"後", "ゴ コウ オク.レ", "のち うし.ろ うしろ あと", "behind, back, later"
"前", "ゼン -マ", "まえ", "in front, before"
"生", "セイ ショウ -", "い.きる い.かす い.ける う.まれる う.まれ うまれ う.む お.う は.える は.やす き なま なま- な.る", "life, genuine, birth"
